id,target
0,8.059637
5,8.392347
15,8.413495
16,8.481809
17,8.132284
19,8.320559
20,8.538265
21,7.8678656
23,8.078781
29,8.32572
31,8.353159
32,7.820517
33,8.390143
34,8.210316
35,8.440165
37,8.397877
38,8.158192
39,8.355835
40,8.449126
44,7.9739823
49,7.942373
53,8.301966
56,8.159838
60,8.325465
61,7.595546
63,8.209391
64,8.451718
66,8.446277
70,8.064162
71,8.363129
72,8.558592
75,8.084409
76,8.066431
78,8.2732725
85,8.443819
86,7.8682327
89,8.438974
90,8.441139
92,7.770405
93,8.185682
94,8.430724
100,8.026655
101,8.350841
102,8.4584255
105,7.8391
106,8.42861
107,8.321512
108,8.149929
109,8.345163
112,8.350763
113,8.231485
116,8.222434
117,8.304787
118,8.477922
120,7.98547
129,8.374154
130,8.141005
132,8.154654
133,8.446379
134,8.251783
136,8.44066
137,8.223145
141,8.053427
142,8.319961
152,7.981192
154,8.191782
156,8.218819
160,7.7868867
161,8.191057
166,8.208264
170,8.257578
173,8.009059
174,7.8409486
175,8.193601
179,8.366515
182,8.044418
186,8.020239
188,8.1796055
189,8.319378
191,8.14723
193,8.323483
194,8.101336
195,7.988524
196,8.002564
197,8.214589
199,8.267305
200,8.0596695
202,8.429953
203,8.408582
204,8.445181
206,8.0927
207,8.507045
212,7.917882
217,7.983989
218,7.9570327
220,8.729818
224,7.8955855
225,8.1481495
229,8.473875
230,8.411872
234,8.122409
235,8.142931
238,8.06219
239,8.529593
241,8.141902
243,8.108706
245,7.6777816
247,8.190261
251,8.348156
252,8.0506115
253,8.414389
255,8.175492
256,8.26578
258,8.624138
259,8.48654
260,8.054732
263,7.6678367
264,8.502265
266,8.266625
267,8.226052
268,8.370471
270,8.45252
273,8.171671
274,8.445251
275,8.0887985
276,8.039444
277,8.424509
281,8.360014
282,8.198181
285,8.231443
292,8.201784
293,7.989039
295,8.064798
298,8.114523
299,8.493295
300,8.373693
301,7.9587464
302,7.8343925
309,8.1529665
311,8.374034
316,8.342344
317,8.037233
319,8.196875
321,8.154958
322,8.302948
324,8.346501
328,7.9373155
329,8.523954
331,8.475084
334,8.189456
337,8.029386
338,8.182819
340,8.520805
344,8.259441
349,7.799614
350,7.685444
351,8.470213
354,8.035968
356,8.339716
358,7.985615
361,8.661897
364,8.32224
365,8.578687
370,7.991596
372,8.270916
374,8.359601
375,7.80188
376,8.228506
379,8.3551035
380,8.402324
382,8.104993
383,8.323878
385,8.459421
389,8.297465
392,8.517894
394,8.109767
395,8.403594
398,7.8565063
400,8.031099
402,8.409784
403,8.244894
406,8.564461
410,8.107959
412,8.298128
413,8.287331
417,8.053812
418,8.276198
419,8.489446
420,8.242673
423,8.244928
424,8.363188
426,8.466855
427,7.9459124
432,8.013193
434,8.0507765
438,8.464593
441,8.304376
443,8.39744
448,8.411955
449,8.341215
451,8.282343
452,8.264038
457,8.570887
458,8.170993
459,8.441114
464,8.312442
465,8.24726
467,8.151767
471,8.224872
472,7.8506484
477,8.111681
478,8.218933
480,8.298572
483,8.278351
487,8.2444935
489,8.197616
491,8.203267
492,8.073097
496,8.174349
500,8.304071
501,8.085686
502,8.355116
503,8.279687
505,8.112119
506,7.9001336
514,7.9699073
517,7.91595
519,8.10935
522,8.150608
523,8.400411
528,8.214305
530,8.020569
532,8.086001
535,8.218403
538,8.027784
542,8.451261
546,8.10701
548,7.9139585
550,8.148672
555,8.580062
557,8.085295
559,8.175298
560,8.569294
562,8.215007
566,8.211873
567,8.410494
569,8.2844925
571,8.334349
572,8.3319235
574,8.243746
577,8.24945
581,8.437591
583,8.509546
587,8.220373
590,8.0046
592,8.272455
593,8.283275
608,8.61347
612,8.133244
614,8.438242
616,8.499311
617,8.173131
625,8.125837
626,8.288856
631,7.880992
633,8.249304
636,8.151628
639,8.084327
641,7.9994545
642,7.8056555
644,8.251394
645,7.89487
646,8.576183
647,8.107881
649,8.607685
650,8.474142
651,7.956899
653,8.002494
655,8.385192
656,8.704542
662,8.276928
669,8.339071
670,8.292603
673,8.339754
674,7.949394
675,7.806943
685,7.836183
688,8.333405
689,8.158877
690,8.345007
691,8.319635
696,8.297301
698,8.3764515
700,8.369112
701,8.148619
702,8.161113
703,8.559604
704,7.630091
706,8.282984
708,8.893446
716,8.337452
717,8.453517
718,8.22913
719,7.788924
720,8.317244
721,8.260032
723,7.967673
725,7.6990347
726,8.076138
728,8.45413
730,7.849021
731,8.2185335
734,8.39138
736,8.3675
739,8.27183
743,8.4287815
747,8.36294
749,8.424114
752,7.8756266
759,8.386078
763,7.9374228
764,7.7303286
765,7.9868593
766,8.4806385
769,8.223905
776,8.189438
778,7.794062
783,8.049369
784,8.137548
787,8.422456
791,7.879818
792,8.263431
796,8.509305
799,7.747103
800,8.118598
801,8.389106
803,7.979107
804,7.9121766
805,8.254413
806,8.240503
807,8.261421
809,8.067083
811,8.338721
813,8.078287
814,8.448348
815,7.869241
816,8.413927
818,8.126753
822,8.570845
828,8.21522
831,7.754411
832,8.114761
834,7.8086724
835,8.649515
836,8.280579
838,8.215798
839,8.115015
842,8.112482
845,8.338417
846,8.574303
848,8.041273
852,7.9613357
856,8.4417515
857,8.207568
860,8.267548
869,8.150221
871,8.080501
876,8.4554
885,8.465915
887,8.605335
888,8.384241
889,8.40339
891,7.5748773
895,8.3966255
902,8.2930765
903,8.647311
905,8.073244
907,8.136991
908,8.535864
909,8.183157
910,8.433853
911,8.023554
913,8.499152
914,8.431336
916,7.886927
917,8.066679
919,8.174486
923,8.307959
924,7.9988985
925,8.36294
926,8.568223
929,8.433855
930,8.513514
931,8.184011
936,8.510372
937,8.302976
947,8.072467
949,8.208239
952,8.104179
955,8.610327
956,8.532686
961,8.192492
963,7.8655787
964,7.8545823
966,8.593901
968,8.338385
969,8.014508
971,8.402057
974,8.601055
980,8.144251
981,8.137972
982,8.39039
983,8.200136
984,8.002729
986,8.162474
992,8.466213
993,8.168945
994,8.410526
998,8.267099
999,7.8914046
1004,8.729059
1006,8.000383
1007,8.031801
1011,8.939726
1012,8.103133
1014,8.028642
1020,8.380449
1021,8.351893
1023,7.996962
1025,7.844629
1026,8.090239
1027,8.136713
1033,8.139551
1034,8.3935375
1038,8.174266
1040,8.275697
1043,8.28691
1045,8.397857
1046,8.239889
1048,8.304813
1049,8.198591
1052,8.479556
1054,8.350555
1055,7.9284415
1056,8.257307
1058,8.341427
1060,8.638972
1064,8.096307
1067,7.96041
1069,8.274723
1070,8.138606
1072,8.239243
1077,8.435191
1082,8.346183
1086,8.549332
1091,8.429869
1093,8.445289
1097,8.185791
1101,8.36922
1104,8.140326
1106,8.2541485
1107,8.281227
1109,8.652047
1113,7.8985953
1115,7.894394
1119,8.230208
1120,7.855326
1123,8.423885
1131,8.411412
1132,8.219447
1134,8.462235
1136,8.442386
1137,8.656073
1138,8.256949
1139,8.086068
1141,8.077238
1143,7.885077
1144,7.923259
1145,8.047185
1149,8.40306
1150,8.265714
1153,8.313794
1155,8.004683
1160,8.510143
1163,7.76317
1165,8.299723
1166,8.241259
1169,8.427557
1172,8.368786
1173,8.252165
1175,8.282935
1177,8.292442
1182,8.342883
1184,8.042437
1186,8.165635
1188,8.425756
1193,8.467305
1196,8.204597
1198,8.684937
1199,7.793654
1202,8.299282
1203,8.540453
1208,8.027363
1210,8.302065
1211,8.087306
1213,8.181746
1221,8.259636
1222,8.303191
1226,8.340564
1227,8.256093
1229,7.9840827
1230,8.526087
1231,8.213367
1232,8.732222
1233,8.044667
1234,8.734383
1236,7.9862914
1237,8.12842
1241,8.547623
1242,8.062151
1243,8.217942
1247,8.007009
1250,8.314562
1251,8.502775
1254,8.289827
1258,8.480304
1259,7.9919405
1260,8.246248
1262,8.519443
1265,8.462824
1267,8.081081
1268,8.227434
1270,8.370398
1271,8.017529
1272,8.385286
1275,7.9462347
1276,8.237448
1278,8.574867
1281,8.166259
1282,8.061197
1283,8.309993
1284,8.439823
1286,8.299001
1288,8.558805
1291,8.477987
1293,8.588755
1294,8.20129
1295,8.114253
